国家和地区,确诊人数,死亡病例,治愈病例
美国,31097154,564138,23586796
巴西,12658109,317646,11085369
印度,12149335,162468,11434301
法国,4646014,95495,299625
俄罗斯,4486078,96817,4108726
英国,4347014,126834,12776
意大利,3532057,107933,2850889
西班牙,3275819,75305,3042352
土耳其,3208173,31076,2957093
德国,2818630,76389,2525580
哥伦比亚,2397731,63255,2279840
阿根廷,2332765,55736,2095853
波兰,2288826,52392,1848199
墨西哥,2232910,202633,1765244
伊朗,1855674,62478,1600488
乌克兰,1724910,34450,1360751
南非,1546735,52788,1473588
捷克,1532332,26421,1366461
秘鲁,1529882,51469,1442405
印度尼西亚,1501093,40581,1336818
荷兰,1284585,16657,16102
智利,989492,23107,924612
加拿大,980080,22892,911958
罗马尼亚,946647,23409,845357
比利时,876842,22966,0
伊拉克,844260,14286,755350
以色列,832639,6193,818558
葡萄牙,820716,16843,775849
瑞典,796445,13430,0
菲律宾,741181,13191,603310
巴基斯坦,667957,14434,603126
匈牙利,641124,20161,399961
孟加拉,605937,8994,539880
瑞士,598713,10322,317600
约旦,589316,6554,485507
塞尔维亚,585506,5190,0
奥地利,542542,9308,497816
摩洛哥,494659,8798,482352
日本本土,472552,9112,443484
黎巴嫩,461062,6096,360244
阿联酋,455197,1481,438706
沙特阿拉伯,388866,6656,377304
斯洛伐克,359330,9624,255300
巴拿马,353839,6100,342774
马来西亚,341944,1255,326309
保加利亚,338426,13068,255692
厄瓜多尔,327325,16780,281684
白俄罗斯,320594,2237,310983
哈萨克斯坦,295506,3228,267130
格鲁吉亚,281761,3778,273167
尼泊尔,277147,3030,272727
玻利维亚,271419,12239,220856
克罗地亚,269009,5928,253459
希腊,260077,8017,93764
阿塞拜疆,259476,3538,237338
多米尼加,252384,3317,211744
突尼斯,252171,8788,216712
巴勒斯坦,236462,2581,210340
爱尔兰,235078,4681,23364
丹麦,230594,2418,218937
科威特,228299,1286,212596
摩尔多瓦,226521,4827,201769
哥斯达黎加,216764,2957,192699
立陶宛,216119,3574,199023
斯洛文尼亚,212966,4040,197420
巴拉圭,208655,4063,170802
埃及,201432,11956,154194
埃塞俄比亚,200563,2801,154323
危地马拉,193377,6802,175438
亚美尼亚,191491,3515,173064
洪都拉斯,188514,4599,72644
卡塔尔,179184,289,163684
波黑,167654,6519,129918
尼日利亚,162762,2056,151532
委内瑞拉,159149,1589,147163
利比亚,157545,2658,146480
阿曼,156883,1669,143398
巴林,143574,517,134442
缅甸,142412,3206,131793
肯尼亚,130214,2117,91754
北马其顿,128511,3749,106392
阿尔巴尼亚,124723,2227,90617
阿尔及利亚,117061,3089,81442
爱沙尼亚,105416,896,80092
韩国,103088,1731,95030
拉脱维亚,101040,1883,92014
乌拉圭,97406,915,77567
挪威,93150,656,17998
斯里兰卡,92088,561,88623
加纳,90287,740,87137
黑山,90083,1245,81936
吉尔吉斯斯坦,88374,1499,84809
赞比亚,87872,1200,84347
乌兹别克斯坦,82869,629,80983
芬兰,76845,826,46000
古巴,74212,421,69868
莫桑比克,67197,764,55275
萨尔瓦多,64431,2006,61640
卢森堡,61073,741,56864
新加坡,60300,30,60122
阿富汗,56384,2476,51473
喀麦隆,47669,721,35261
塞浦路斯,45430,256,2057
纳米比亚,43632,509,41398
科特迪瓦,43180,237,38719
乌干达,40794,335,40422
塞内加尔,38520,1037,36753
博茨瓦纳,38466,506,33903
牙买加,38227,570,17197
津巴布韦,36822,1520,34603
马拉维,33481,1114,29611
苏丹,31407,2028,23990
澳大利亚,29304,909,23012
马耳他,28875,387,27086
泰国,28773,94,26873
刚果（金）,28076,743,25444
马达加斯加,23585,387,21636
马尔代夫,23524,66,20723
安哥拉,22182,536,20446
卢旺达,21490,305,19860
几内亚,19793,125,16547
加蓬,18777,111,16074
叙利亚,18775,1254,12610
毛里塔尼亚,17771,448,17008
斯威士兰,17321,667,16418
佛得角,17279,168,16191
塔吉克斯坦,13308,90,13218
海地,12736,252,10754
布基纳法索,12717,146,12385
伯利兹,12415,317,12061
安道尔,11944,115,11276
索马里,10977,496,4719
莱索托,10686,315,4438
多哥,10249,109,7815
圭亚那,10192,231,8998
马里,9871,379,6785
刚果（布）,9681,135,8208
巴哈马,9119,188,8597
苏里南,9097,177,8579
蒙古,8447,6,4920
特立尼达和多巴哥,7977,142,7595
吉布提,7790,69,6380
贝宁,7100,90,6452
赤道几内亚,6902,102,6486
尼加拉瓜,6629,177,4225
冰岛,6183,29,6049
冈比亚,5447,165,5060
巴布亚新几内亚,5184,45,846
中非共和国,5161,67,4957
尼日尔,4987,185,4590
圣马力诺,4603,84,4000
乍得,4523,164,4137
圣卢西亚,4202,58,4107
塞舌尔,4084,20,3548
也门,4033,851,1606
塞拉利昂,3970,79,2801
科摩罗,3690,146,3510
巴巴多斯,3642,42,3457
几内亚比绍,3634,61,2950
厄立特里亚,3251,9,3029
布隆迪,2757,6,773
列支敦士登公国,2658,56,2562
越南,2591,35,2308
新西兰,2493,26,2381
柬埔寨,2440,11,1191
摩纳哥,2259,28,2070
利比里亚,2042,85,1899
圣文森特和格林纳丁斯,1739,10,1587
安提瓜和巴布达,1136,28,820
毛里求斯,1024,10,643
不丹,872,1,867
钻石号邮轮,712,13,699
坦桑尼亚,509,21,183
东帝汶,491,0,169
文莱,210,3,194
多米尼克,161,0,153
格林纳达,155,1,152
斐济,67,2,64
老挝,49,0,45
圣基茨和尼维斯,44,0,43
马提尼克岛,37,1,0
梵蒂冈,27,0,15
所罗门群岛,18,0,16
马绍尔群岛,4,0,4
瓦努阿图,3,0,1
